pdb_id,ligand,source,scenario,pose_name,pose_path,status,method,rmsd_angstrom,n_atoms_ref,n_atoms_pose,n_atoms_mapped,mapping_coverage,ref_residue,pose_residue,error
3DC3,AZM,diffdock_sdf,diffdock,rank1|idx_1,output/diffdock_workflow/poses/3DC3/complex_0/rank1.sdf,ok_low_coverage,atom_name,0.9923691249252632,13.0,13.0,4.0,0.3076923076923077,AZM|A|263,SDF|LIG|1,No sub-structure match found between the reference and probe mol
3DC3,AZM,diffdock_sdf,diffdock,rank1_confidence0.92|idx_1,output/diffdock_workflow/poses/3DC3/complex_0/rank1_confidence0.92.sdf,ok_low_coverage,atom_name,0.9923691249252632,13.0,13.0,4.0,0.3076923076923077,AZM|A|263,SDF|LIG|1,No sub-structure match found between the reference and probe mol
3DC3,AZM,diffdock_sdf,diffdock,rank2_confidence0.72|idx_2,output/diffdock_workflow/poses/3DC3/complex_0/rank2_confidence0.72.sdf,ok_low_coverage,atom_name,2.8624995762134384,13.0,13.0,4.0,0.3076923076923077,AZM|A|263,SDF|LIG|1,No sub-structure match found between the reference and probe mol
3DC3,AZM,diffdock_sdf,diffdock,rank3_confidence0.72|idx_3,output/diffdock_workflow/poses/3DC3/complex_0/rank3_confidence0.72.sdf,ok_low_coverage,atom_name,2.8709736600703892,13.0,13.0,4.0,0.3076923076923077,AZM|A|263,SDF|LIG|1,No sub-structure match found between the reference and probe mol
3DC3,AZM,diffdock_sdf,diffdock,rank4_confidence0.70|idx_4,output/diffdock_workflow/poses/3DC3/complex_0/rank4_confidence0.70.sdf,ok_low_coverage,atom_name,2.8809444836562115,13.0,13.0,4.0,0.3076923076923077,AZM|A|263,SDF|LIG|1,No sub-structure match found between the reference and probe mol
3DC3,AZM,diffdock_complex_pdb,diffdock,3DC3_diffdock_complex,output/diffdock_workflow/complexes/3DC3_diffdock_complex.pdb,ok,rdkit_best_rms,0.22951928894530596,13.0,13.0,13.0,1.0,AZM|A|263,UNL|L|1,
3DC3,AZM,boltz_cif,crystal_pocket,3DC3_crystal_pocket_model_0|idx_0,output/boltz_results_boltz_inputs/predictions/3DC3_crystal_pocket/3DC3_crystal_pocket_model_0.cif,ok,rdkit_best_rms,0.14265831668104717,13.0,13.0,13.0,1.0,AZM|A|263,LIG1|AZM|1,
3DC3,AZM,boltz_cif,default,3DC3_default_model_0|idx_0,output/boltz_results_boltz_inputs/predictions/3DC3_default/3DC3_default_model_0.cif,ok,rdkit_best_rms,0.1400800381784051,13.0,13.0,13.0,1.0,AZM|A|263,LIG1|AZM|1,
3DC3,AZM,boltz_cif,diffdock_pocket,3DC3_diffdock_pocket_model_0|idx_0,output/boltz_results_boltz_inputs/predictions/3DC3_diffdock_pocket/3DC3_diffdock_pocket_model_0.cif,ok,rdkit_best_rms,0.13994360888887003,13.0,13.0,13.0,1.0,AZM|A|263,LIG1|AZM|1,
3K7K,KCS,diffdock_sdf,diffdock,rank1|idx_1,output/diffdock_workflow/poses/3K7K/complex_0/rank1.sdf,ok,element_sorted_fallback,1.4831582729779533,4.0,4.0,4.0,1.0,KCS|A|301,SDF|LIG|1,No sub-structure match found between the reference and probe mol
3K7K,KCS,diffdock_sdf,diffdock,rank1_confidence0.41|idx_1,output/diffdock_workflow/poses/3K7K/complex_0/rank1_confidence0.41.sdf,ok,element_sorted_fallback,1.4831582729779533,4.0,4.0,4.0,1.0,KCS|A|301,SDF|LIG|1,No sub-structure match found between the reference and probe mol
3K7K,KCS,diffdock_sdf,diffdock,rank2_confidence0.40|idx_2,output/diffdock_workflow/poses/3K7K/complex_0/rank2_confidence0.40.sdf,ok,element_sorted_fallback,1.4485604410783162,4.0,4.0,4.0,1.0,KCS|A|301,SDF|LIG|1,No sub-structure match found between the reference and probe mol
